Name;Scope Project1;
File;E:\hawino\Measurements\VarianceMeasurement\varY500DD6_5.csv;
Starttime of export;133202541026097000;Dienstag, 7. Februar 2023;15:35:02.609
Endtime of export;133202541149097000;Dienstag, 7. Februar 2023;15:35:14.909


Name;vXFromMotor (1);Name;vYFromMotor;Name;vThetaFromMotor;Name;v;Name;state;Name;counter;Name;distX;Name;distY;Name;distTheta;Name;taskfreq;Name;camX;Name;camY;Name;camTheta;Name;ErrX;Name;ErrY;Name;ErrTheta
SymbolComment; Inputs;SymbolComment;;SymbolComment;;SymbolComment;Outputs;SymbolComment;local;SymbolComment;;SymbolComment;Odometry;SymbolComment;;SymbolComment;;SymbolComment; Task Freqeuncy in ms;SymbolComment;the actual robot has to be selected in connecting PlcTaskInputs to actual Robot Camera data
 x Koordinate bei Start nach Kamera;SymbolComment; y Koordinate bei Start laut Kamera;SymbolComment; theta laut Kamera zu Beginn;SymbolComment; Error in x;SymbolComment; Error in y;SymbolComment; Error in Theta
Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;INT16;Data-Type;INT16;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64;Data-Type;REAL64
SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10;SampleTime[ms];10
VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;2;VariableSize;2;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8;VariableSize;8
SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True;SymbolBased;True
IndexGroup;61472;IndexGroup;61472;IndexGroup;61472;IndexGroup;61488;IndexGroup;16448;IndexGroup;16448;IndexGroup;16448;IndexGroup;16448;IndexGroup;16448;IndexGroup;16448;IndexGroup;61472;IndexGroup;61472;IndexGroup;61472;IndexGroup;16448;IndexGroup;16448;IndexGroup;16448
IndexOffset;426024;IndexOffset;426032;IndexOffset;426040;IndexOffset;426048;IndexOffset;426056;IndexOffset;426058;IndexOffset;426064;IndexOffset;426072;IndexOffset;426080;IndexOffset;426088;IndexOffset;426096;IndexOffset;426104;IndexOffset;426112;IndexOffset;426120;IndexOffset;426128;IndexOffset;426136
SymbolName;MeasureVariance.vXFromMotor;SymbolName;MeasureVariance.vYFromMotor;SymbolName;MeasureVariance.vThetaFromMotor;SymbolName;MeasureVariance.v;SymbolName;MeasureVariance.state;SymbolName;MeasureVariance.counter;SymbolName;MeasureVariance.distX;SymbolName;MeasureVariance.distY;SymbolName;MeasureVariance.distTheta;SymbolName;MeasureVariance.taskfreq;SymbolName;MeasureVariance.camX;SymbolName;MeasureVariance.camY;SymbolName;MeasureVariance.camTheta;SymbolName;MeasureVariance.ErrX;SymbolName;MeasureVariance.ErrY;SymbolName;MeasureVariance.ErrTheta
NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1
Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851
Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0
ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1
BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff
Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None)
Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1
Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0

0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;0;10;10;10;0;10;0;10;0;10;0;10;0;10;0
20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;0;20;10;20;0;20;0;20;0;20;0;20;0;20;0
30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;10;30;0;30;0;30;0;30;0;30;0;30;0
40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;0;40;10;40;0;40;0;40;0;40;0;40;0;40;0
50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;0;50;10;50;0;50;0;50;0;50;0;50;0;50;0
60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;0;60;10;60;0;60;0;60;0;60;0;60;0;60;0
